Index,City,lon,lat
317,Cherbourg,"-1,622137","49,6337308"
318,Poitiers,"0,340375","46,580224"
319,Lourdes,"-0,045726","43,91463"
320,Moutiers,"6,529926","45,484615"
321,Lu�on,"-1,167062","46,454772"
322,Les Sables-d'Olonne,"-1,795493","46,492958"
323,Dinard,"-2,055125","48,633024"
324,�vreux,"1,151361","49,270129"
325,P�ronne,"2,933353","49,933071"
326,Ch�lons-sur-Marne,"4,363073","48,956682"
327,Villard-de-Lans,"5,55227","45,70641"
328,Serre Chevalier,"6,559389","44,946226"
329,Isola,"-95,9195026","36,727771"
330,Andorra,"1,521801","42,506285"
331,Br�tigny-sur-Orge,"2,30604","48,611486"
332,Viry-Ch�tillon,"2,375902","48,666218"
333,San Sebasti�n,"-1,9812313","43,318334"
334,Libourne,"-0,243985","44,912998"
335,Nogent-sur-Oise,"2,464688","49,278948"
336,Valkenburg,"5,8320514","50,8652306"
337,St Gervais,"6,712187","45,892013"
338,Sestriere,"6,8790861","44,9578505"
339,La Bourboule,"2,738992","45,587241"
340,Blois,"1,3359475","47,5860921"
341,La D�fense,"2,2418428","48,8897359"
342,Bron,"4,911927","45,733316"
343,Villeurbanne,"4,8901709","45,771944"
344,Dijon,"5,04148","47,322047"
345,Reims,"4,031696","49,258329"
346,Le Havre,"0,107929","49,49437"
347,Argentan,"-0,016566","48,744001"
348,Quimper,"-4,097899","47,997542"
349,Jaca,"-0,5470554","42,5717166"
350,St Gaudens,"-72,3687458","43,5010949"
351,Al�s,"4,083352","44,127204"
352,Lugny,"4,80982","46,471672"
353,Sarrebourg,"7,052587","48,732663"
354,�pinal,"6,449403","48,172402"
355,Geneva,"6,1431577","46,2043907"
356,Saint-Gervais,"6,712187","45,892013"
357,Fontaine,"-94,5981928","39,399534"
358,Millau,"3,077801","44,100575"
359,Castillon-la-Bataille,"-0,043008","44,852067"
360,Labastide-d'Armagnac,"-0,18562","43,969386"
361,Cauterets,"-0,114246","42,889054"
362,Pornichet,"-2,340571","47,263426"
363,Pontch�teau,"-2,089536","47,436929"
364,La Haie-Fouassi�re,"-1,399547","47,1556"
365,Neufch�tel-en-Bray,"1,441891","49,732771"
366,Li�vin,"2,775222","50,417921"
367,Nancy,"6,184417","48,692054"
368,Luz Ardiden,"-0,002869","42,873542"
369,Ruelle-sur-Touvre,"0,219218","45,6767619"
370,Clermont-Ferrand,"3,087025","45,777222"
371,Santenay,"4,696534","46,912833"
